group,value1,value2
Afghanistan,54.8,65
Albania,72.6,77.8
Algeria,71.3,75.6
Angola,45.3,56
Antigua and Barbuda,73.6,76.4
Argentina,74,76.3
Armenia,72,74.8
Australia,79.5,86
Austria,78.1,88
Azerbaijan,66.6,78
Bahamas,72.6,76.1
Bahrain,74.5,76.9
Bangladesh,65.3,77
Barbados,73.3,75.5
Belarus,67.2,73
Belgium,77.6,89
Belize,68.2,71
Benin,55.4,60
Bhutan,61.7,69.8
Bolivia (Plurinational State of),62.6,77
Bosnia and Herzegovina,74.6,77.4
Botswana,46,65.7
Brazil,71,75
Brunei Darussalam,74.4,78.3
Bulgaria,71.1,74.5
Burkina Faso,51,59.9
Burundi,51.3,59.6
Cabo Verde,69.9,77
Cambodia,57.7,68.7
Cameroon,51.4,57.3
Canada,79.1,87
Central African Republic,45.6,58
Chad,47.6,57
Chile,77.3,85
China,71.7,76.1
Colombia,71.4,74.8
Comoros,59.5,66
Congo,52.6,68
Cook Islands,,
Costa Rica,77.5,79.6
Croatia,74.7,78
Cuba,76.7,79.1
Cyprus,78.1,85
Czechia,74.7,78.8
C̫te d'Ivoire,47.7,54
Democratic People's Republic of Korea,65.4,76
Democratic Republic of the Congo,51.3,59.8
Denmark,76.9,86
Djibouti,57.4,69
Dominica,,
Dominican Republic,69.3,73.9
Ecuador,72.8,76.2
Egypt,68.6,79
El Salvador,68.9,75
Equatorial Guinea,52.7,58.2
Eritrea,45.3,67
Estonia,71.2,78
Ethiopia,51.2,68
Fiji,67.7,69.9
Finland,77.5,89
France,78.8,89
Gabon,59.7,66
Gambia,55.9,68
Georgia,71.7,74.5
Germany,78,89
Ghana,57.2,69
Greece,78.2,88
Grenada,71.1,79
Guatemala,67.7,79
Guinea,52.5,59
Guinea-Bissau,52.1,58.9
Guyana,65,66.3
Haiti,36.3,65
Honduras,71,74.6
Hungary,71.7,75.8
Iceland,79.7,88
India,62.5,68.3
Indonesia,65.3,69.1
Iran (Islamic Republic of),71.2,78
Iraq,64.7,77
Ireland,76.4,86
Israel,78.9,84
Italy,79.4,89
Jamaica,72.6,76.2
Japan,81.1,83.7
Jordan,71.7,74.1
Kazakhstan,63.9,72
Kenya,51.9,63.4
Kiribati,64.1,66.3
Kuwait,73.2,74.7
Kyrgyzstan,66.6,78
Lao People's Democratic Republic,58.1,65.7
Latvia,69.9,78
Lebanon,72.7,75
Lesotho,44.5,53.7
Liberia,50,67
Libya,71,78
Lithuania,71.1,78
Luxembourg,77.8,88
Madagascar,57.9,69
Malawi,43.1,58.3
Malaysia,72.4,75
Maldives,69.6,78.5
Mali,49.8,58.2
Malta,77.5,87
Marshall Islands,,
Mauritania,60,69
Mauritius,71,74.6
Mexico,74.8,76.7
Micronesia (Federated States of),66.2,69.4
Monaco,,
Mongolia,62.8,68.8
Montenegro,73,76.1
Morocco,68.6,77
Mozambique,49,58
Myanmar,59.2,66.6
Namibia,54.7,66.1
Nauru,,
Nepal,62.5,69.6
Netherlands,78.1,88
New Zealand,78.5,89
Nicaragua,71,76
Niger,50,69
Nigeria,47.1,59
Niue,,
Norway,78.5,89
Oman,72.6,76.6
Pakistan,62.8,66.4
Palau,,
Panama,75.5,77.8
Papua New Guinea,58.9,68
Paraguay,71.2,79
Peru,71.4,75.5
Philippines,66.8,68.5
Poland,73.7,77.5
Portugal,76.6,89
Qatar,76.2,78.2
Republic of Korea,76,87
Republic of Moldova,67.1,79
Romania,71.1,78
Russian Federation,64.6,75
Rwanda,48.3,68
Saint Kitts and Nevis,,
Saint Lucia,71.6,75.2
Saint Vincent and the Grenadines,71,79
Samoa,71.4,79
San Marino,,
Sao Tome and Principe,62.6,67.5
Saudi Arabia,72.6,74.5
Senegal,57.5,66.7
Serbia,72.6,75.6
Seychelles,71.8,73.2
Sierra Leone,39,54
Singapore,78.3,87
Slovakia,73,76.7
Slovenia,76,88
Solomon Islands,65.8,69.2
Somalia,51.1,58
South Africa,53.7,69
South Sudan,48.9,58
Spain,79.1,89
Sri Lanka,69.1,74.9
Sudan,58.6,67
Suriname,67.4,76
Swaziland,45.6,58.9
Sweden,79.6,89
Switzerland,79.7,85
Syrian Arab Republic,62.8,73.8
Tajikistan,63.7,69.7
Thailand,71.1,74.9
The former Yugoslav republic of Macedonia,72.6,75.7
Timor-Leste,58.7,68.3
Togo,54.6,59.9
Tonga,71.6,73.5
Trinidad and Tobago,69.1,78
Tunisia,72.9,75.3
Turkey,71.2,78
Turkmenistan,63.3,66.3
Tuvalu,,
Uganda,46.6,67
Ukraine,67,78
United Arab Emirates,74.2,77.1
United Kingdom of Great Britain and Northern Ireland,77.8,87
United Republic of Tanzania,49.2,67
United States of America,76.8,79.3
Uruguay,75.1,77
Uzbekistan,67.1,69.4
Vanuatu,69,78
Venezuela (Bolivarian Republic of),72.4,74.1
Viet Nam,73.4,76
Yemen,61.1,68
Zambia,43.8,63
Zimbabwe,44.3,67
